image title,MATLAB blobject name,manual blobject name,bialent quality?,manual.SC.length,blobjectClass,bad position,automatic foci position,manual.foci 1 position,,medial foci position,manual.distal foci position,4th foci position,manual.IFD,IFD2,notes
2aug15_8jun15_G_f4_sp1_7_rev,2,blob1,,91.902,1CO,,,68.277,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,15,blob2,,96.188,1CO,,,55.483,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,7,blob3,,87.134,1CO,,,22.3,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,8,blob4,,62.49,1CO,,,47.058,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,1,blob5,,105.966,1CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,13,blob6,,78.562,1CO,,,51.543,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,14,blob7,,128.067,1CO,,,121.89,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,17,blob8,,181.169,2CO,,,28.187,,,165.637,,137.45,,
2aug15_8jun15_G_f4_sp1_7_rev,18,blob9,,116.713,1CO,,,87.701,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,16,blob10,,179.5,1CO,,,100.245,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,21,blob11,,103.975,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,9,blob12,,156.266,2CO,,,9.083,,,132.427,,123.344,,
2aug15_8jun15_G_f4_sp1_7_rev,10,blob13,,80.924,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,12,blob14,,76.415,2CO,,,16.233,,,57.398,,,,repeated measure
2aug15_8jun15_G_f4_sp1_7_rev,11,blob15,,133.364,2CO,,,27.042,,,102.091,,75.049,,
2aug15_8jun15_G_f4_sp1_7_rev,5,blob16,,103.295,0CO?,,,,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,3,blob17,,107.61,2CO,,,5.886,,,101.467,,95.581,,
2aug15_8jun15_G_f4_sp1_7_rev,6,blob18,,82.175,1CO,,,28.209,,,,,,,
2aug15_8jun15_G_f4_sp1_7_rev,20,blob19,,137.405,3CO,,,17.889,,81.21,120.097,,63.321,38.887,
2aug15_8jun15_G_f4_sp1_7_rev,19,blob20,,109.482,1CO,,,100.865,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,7,blob1,1,103.098,2CO,,,16.643,,,84.674,,68.031,,
30mar15_13oct14_G_f1_sp1_1.1_rev,10,blob2,1,82.893,1CO,,,67.385,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,1,blob3,1,95.769,2CO,,,42.332,,,80.605,,38.273,,
30mar15_13oct14_G_f1_sp1_1.1_rev,5,blob4,1,94.439,1CO,,,43.999,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,18,blob5,1,86.637,2CO,,,15.285,,,65.725,,50.44,,
30mar15_13oct14_G_f1_sp1_1.1_rev,19,blob6,1,94.025,1CO,,,52.955,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,2,blob7,1,80.822,1CO,,,29.454,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,20,blob8,3,74.449,0CO,,,,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,21,blob9,1,101.269,2CO,,,36.617,,,97.31,,60.693,,
30mar15_13oct14_G_f1_sp1_1.1_rev,13,blob10,1,88.28,1CO,,,60.864,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,14,blob11,1,69.23,1CO,,,16.61,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,16,blob12,1,60.546,1CO,,,29.329,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,17,blob13,,121.686,2CO,,,29.554,,,76.871,,47.317,,
30mar15_13oct14_G_f1_sp1_1.1_rev,8,blob14,1,84.41,1CO,,,71.416,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,12,blob15,,94.518,1CO,,,41.613,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,15,blob16,2,70.586,1CO,,,46.567,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,3,blob17,,101.622,2CO,,,24.95,,,91.659,,66.709,,
30mar15_13oct14_G_f1_sp1_1.1_rev,6,blob18,1,69.662,1CO,,,11.468,,,,,,,
30mar15_13oct14_G_f1_sp1_1.1_rev,9,blob19,1,124.678,2CO,,,48.583,,,102.374,,53.791,,
30mar15_13oct14_G_f1_sp1_1.1_rev,11,blob20,1,107.422,1CO,,,55.464,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,3,blob1,,71.846,1CO,,,46.631,,,,,,,
4dec14_8oct14_PWD_f1_sp1_12_rev,7,blob2,,88.184,0CO,,,,,,,,,,maybe 1CO
4dec14_8oct14_PWD_f1_sp1_12_rev,19,blob3,,104.076,2CO,,,20.772,,,64.617,,43.845,,
4dec14_8oct14_PWD_f1_sp1_12_rev,14,blob4,,117.68,2CO,,,30.67,,,88.346,,57.676,,
