28jul15_22jun15_G_m2_sp1_4_rev.tif
Score; (1 excellent, 5 bad)
score = 1
ans = 

    Length    Foci_1    Foci_2    Skipped
    ______    ______    ______    _______

        88    21         0        0      
        67    39         0        0      
      98.5    67         0        0      
      73.5    29         0        0      
        78    39         0        0      
      57.5    44         0        0      
      93.5    29        66        0      
     121.5     0         0        0      
        61    36         0        0      
      48.5    21         0        0      
        63    38         0        0      
       101    41        92        0      
        78     6        66        0      
      54.5    37         0        0      
        45    18         0        0      
      69.5    22        61        0      
     90.39    19        62        0      
    63.472    36         0        0      
     73.88    13        59        0      
    90.773    27        73        0      
