4dec14_8oct14_PWD_f1_sp1_16_rev.tif
score:4
ans = 

    Length    Foci_1    Foci_2    Foci_3    Skipped
    ______    ______    ______    ______    _______

        90    50        57         0          0    
        44     0         0         0         -2    
      88.5    16        45         0          0    
        40     0         0         0          0    
      88.5    30         0         0          0    
        79    19        36         0          0    
        56    50         0         0          0    
       102    30        55         0          0    
      23.5     0         0         0         -9    
        14     0         0         0          0    
      12.5     0         0         0        -11    
      83.5    31        47         0          0    
        70    38         0         0          0    
        97    38        65         0          0    
      89.5    21        56         0          0    
      64.5    38         0         0          0    
      78.5    15        51         0          0    
      75.5    43         0         0          0    
      49.5    30         0         0          0    
      79.5    64         0         0          0    
        58    28         0         0          0    
    110.11     7        21        67          0    
     83.81    21        64         0          0    


*10,11,9 should be 1 chrm
*2,4 should be 1 chrm
*12 has an extra foci
*22,23 manually drawn
